,Zagreb,Karlovac,Sisak,Varaždin,Velika Gorica,Rijeka,Gospić,Ogulin,Petrinja,Kutina,Čakovec,Koprivnica,Prelog,Samobor,Pula,Opatija,Zadar,Split,Senj,Plitvička Jezera,Glina,Hrvatska Kostajnica,Mursko Središće,Križevci,Đurđevac,Rovinj,Labin,Šibenik,Biograd,Makarska,Dubrovnik,Trogir,Dvor,Novska,Bjelovar,Virovitica,Poreč,Raša,Knin,Pakostane,Imotski,Zaprešić,Karlobag,Korenica,Okučani,Slatina
Zagreb,0,32,49,54,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlovac,32,0,0,0,0,76,140,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sisak,49,0,0,0,40,0,0,0,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varaždin,54,0,0,0,0,0,0,0,0,0,12,40,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Velika Gorica,18,0,40,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rijeka,0,76,0,0,0,0,0,0,0,0,0,0,0,0,76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gospić,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogulin,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrinja,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kutina,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
